법정동코드,법정동명,폐지여부
1114015400,서울특별시 중구 오장동,존재
1114015500,서울특별시 중구 을지로3가,존재
1114015600,서울특별시 중구 입정동,존재
1114015700,서울특별시 중구 산림동,존재
1114015800,서울특별시 중구 충무로3가,존재
1114015900,서울특별시 중구 초동,존재
1114016000,서울특별시 중구 인현동1가,존재
1114016100,서울특별시 중구 저동2가,존재
1114016200,서울특별시 중구 신당동,존재
1114016300,서울특별시 중구 흥인동,존재
1114016400,서울특별시 중구 무학동,존재
1114016500,서울특별시 중구 황학동,존재
1114016600,서울특별시 중구 서소문동,존재
1114016700,서울특별시 중구 정동,존재
1114016800,서울특별시 중구 순화동,존재
1114016900,서울특별시 중구 의주로1가,존재
1114017000,서울특별시 중구 충정로1가,존재
1114017100,서울특별시 중구 중림동,존재
1114017200,서울특별시 중구 의주로2가,존재
1114017300,서울특별시 중구 만리동1가,존재
1114017400,서울특별시 중구 만리동2가,존재
1117000000,서울특별시 용산구,존재
1117010100,서울특별시 용산구 후암동,존재
1117010200,서울특별시 용산구 용산동2가,존재
1117010300,서울특별시 용산구 용산동4가,존재
1117010400,서울특별시 용산구 갈월동,존재
1117010500,서울특별시 용산구 남영동,존재
1117010600,서울특별시 용산구 용산동1가,존재
1117010700,서울특별시 용산구 동자동,존재
1117010800,서울특별시 용산구 서계동,존재
1117010900,서울특별시 용산구 청파동1가,존재
1117011000,서울특별시 용산구 청파동2가,존재
1117011100,서울특별시 용산구 청파동3가,존재
1117011200,서울특별시 용산구 원효로1가,존재
1117011300,서울특별시 용산구 원효로2가,존재
1117011400,서울특별시 용산구 신창동,존재
1117011500,서울특별시 용산구 산천동,존재
1117011600,서울특별시 용산구 청암동,존재
1117011700,서울특별시 용산구 원효로3가,존재
1117011800,서울특별시 용산구 원효로4가,존재
1117011900,서울특별시 용산구 효창동,존재
1117012000,서울특별시 용산구 도원동,존재
1117012100,서울특별시 용산구 용문동,존재
1117012200,서울특별시 용산구 문배동,존재
1117012300,서울특별시 용산구 신계동,존재
1117012400,서울특별시 용산구 한강로1가,존재
1117012500,서울특별시 용산구 한강로2가,존재
1117012600,서울특별시 용산구 용산동3가,존재
1117012700,서울특별시 용산구 용산동5가,존재
1117012800,서울특별시 용산구 한강로3가,존재
1117012900,서울특별시 용산구 이촌동,존재
1117013000,서울특별시 용산구 이태원동,존재
1117013100,서울특별시 용산구 한남동,존재
1117013200,서울특별시 용산구 동빙고동,존재
1117013300,서울특별시 용산구 서빙고동,존재
1117013400,서울특별시 용산구 주성동,존재
1117013500,서울특별시 용산구 용산동6가,존재
1117013600,서울특별시 용산구 보광동,존재
1120000000,서울특별시 성동구,존재
1120010100,서울특별시 성동구 상왕십리동,존재
1120010200,서울특별시 성동구 하왕십리동,존재
1120010300,서울특별시 성동구 홍익동,존재
1120010400,서울특별시 성동구 도선동,존재
1120010500,서울특별시 성동구 마장동,존재
1120010600,서울특별시 성동구 사근동,존재
1120010700,서울특별시 성동구 행당동,존재
1120010800,서울특별시 성동구 응봉동,존재
1120010900,서울특별시 성동구 금호동1가,존재
1120011000,서울특별시 성동구 금호동2가,존재
1120011100,서울특별시 성동구 금호동3가,존재
1120011200,서울특별시 성동구 금호동4가,존재
1120011300,서울특별시 성동구 옥수동,존재
1120011400,서울특별시 성동구 성수동1가,존재
1120011500,서울특별시 성동구 성수동2가,존재
1120011800,서울특별시 성동구 송정동,존재
1120012200,서울특별시 성동구 용답동,존재
1121500000,서울특별시 광진구,존재
1121510100,서울특별시 광진구 중곡동,존재
1121510200,서울특별시 광진구 능동,존재
1121510300,서울특별시 광진구 구의동,존재
1121510400,서울특별시 광진구 광장동,존재
1121510500,서울특별시 광진구 자양동,존재
1121510700,서울특별시 광진구 화양동,존재
1121510900,서울특별시 광진구 군자동,존재
1123000000,서울특별시 동대문구,존재
1123010100,서울특별시 동대문구 신설동,존재
1123010200,서울특별시 동대문구 용두동,존재
1123010300,서울특별시 동대문구 제기동,존재
1123010400,서울특별시 동대문구 전농동,존재
1123010500,서울특별시 동대문구 답십리동,존재
1123010600,서울특별시 동대문구 장안동,존재
1123010700,서울특별시 동대문구 청량리동,존재
1123010800,서울특별시 동대문구 회기동,존재
1123010900,서울특별시 동대문구 휘경동,존재
1123011000,서울특별시 동대문구 이문동,존재
1126000000,서울특별시 중랑구,존재
1126010100,서울특별시 중랑구 면목동,존재
1126010200,서울특별시 중랑구 상봉동,존재
1126010300,서울특별시 중랑구 중화동,존재
1126010400,서울특별시 중랑구 묵동,존재
1126010500,서울특별시 중랑구 망우동,존재
1126010600,서울특별시 중랑구 신내동,존재
1129000000,서울특별시 성북구,존재
1129010100,서울특별시 성북구 성북동,존재
1129010200,서울특별시 성북구 성북동1가,존재
1129010300,서울특별시 성북구 돈암동,존재
1129010400,서울특별시 성북구 동소문동1가,존재
1129010500,서울특별시 성북구 동소문동2가,존재
1129010600,서울특별시 성북구 동소문동3가,존재
1129010700,서울특별시 성북구 동소문동4가,존재
1129010800,서울특별시 성북구 동소문동5가,존재
1129010900,서울특별시 성북구 동소문동6가,존재
1129011000,서울특별시 성북구 동소문동7가,존재
1129011100,서울특별시 성북구 삼선동1가,존재
1129011200,서울특별시 성북구 삼선동2가,존재
1129011300,서울특별시 성북구 삼선동3가,존재
1129011400,서울특별시 성북구 삼선동4가,존재
1129011500,서울특별시 성북구 삼선동5가,존재
1129011600,서울특별시 성북구 동선동1가,존재
1129011700,서울특별시 성북구 동선동2가,존재
1129011800,서울특별시 성북구 동선동3가,존재
1129011900,서울특별시 성북구 동선동4가,존재
1129012000,서울특별시 성북구 동선동5가,존재
1129012100,서울특별시 성북구 안암동1가,존재
1129012200,서울특별시 성북구 안암동2가,존재
1129012300,서울특별시 성북구 안암동3가,존재
1129012400,서울특별시 성북구 안암동4가,존재
1129012500,서울특별시 성북구 안암동5가,존재
1129012600,서울특별시 성북구 보문동4가,존재
1129012700,서울특별시 성북구 보문동5가,존재
1129012800,서울특별시 성북구 보문동6가,존재
1129012900,서울특별시 성북구 보문동7가,존재
1129013000,서울특별시 성북구 보문동1가,존재
1129013100,서울특별시 성북구 보문동2가,존재
1129013200,서울특별시 성북구 보문동3가,존재
1129013300,서울특별시 성북구 정릉동,존재
1129013400,서울특별시 성북구 길음동,존재
1129013500,서울특별시 성북구 종암동,존재
1129013600,서울특별시 성북구 하월곡동,존재
1129013700,서울특별시 성북구 상월곡동,존재
1129013800,서울특별시 성북구 장위동,존재
1129013900,서울특별시 성북구 석관동,존재
1130500000,서울특별시 강북구,존재
1130510100,서울특별시 강북구 미아동,존재
1130510200,서울특별시 강북구 번동,존재
1130510300,서울특별시 강북구 수유동,존재
1130510400,서울특별시 강북구 우이동,존재
1132000000,서울특별시 도봉구,존재
1132010500,서울특별시 도봉구 쌍문동,존재
1132010600,서울특별시 도봉구 방학동,존재
1132010700,서울특별시 도봉구 창동,존재
1132010800,서울특별시 도봉구 도봉동,존재
1135000000,서울특별시 노원구,존재
1135010200,서울특별시 노원구 월계동,존재
1135010300,서울특별시 노원구 공릉동,존재
1135010400,서울특별시 노원구 하계동,존재
1135010500,서울특별시 노원구 상계동,존재
1135010600,서울특별시 노원구 중계동,존재
1138000000,서울특별시 은평구,존재
1138010100,서울특별시 은평구 수색동,존재
1138010200,서울특별시 은평구 녹번동,존재
1138010300,서울특별시 은평구 불광동,존재
1138010400,서울특별시 은평구 갈현동,존재
1138010500,서울특별시 은평구 구산동,존재
1138010600,서울특별시 은평구 대조동,존재
1138010700,서울특별시 은평구 응암동,존재
1138010800,서울특별시 은평구 역촌동,존재
1138010900,서울특별시 은평구 신사동,존재
1138011000,서울특별시 은평구 증산동,존재
1138011400,서울특별시 은평구 진관동,존재
1141000000,서울특별시 서대문구,존재
1141010100,서울특별시 서대문구 충정로2가,존재
1141010200,서울특별시 서대문구 충정로3가,존재
1141010300,서울특별시 서대문구 합동,존재
1141010400,서울특별시 서대문구 미근동,존재
1141010500,서울특별시 서대문구 냉천동,존재
1141010600,서울특별시 서대문구 천연동,존재
1141010700,서울특별시 서대문구 옥천동,존재
1141010800,서울특별시 서대문구 영천동,존재
1141010900,서울특별시 서대문구 현저동,존재
1141011000,서울특별시 서대문구 북아현동,존재
1141011100,서울특별시 서대문구 홍제동,존재
1141011200,서울특별시 서대문구 대현동,존재
1141011300,서울특별시 서대문구 대신동,존재
1141011400,서울특별시 서대문구 신촌동,존재
1141011500,서울특별시 서대문구 봉원동,존재
1141011600,서울특별시 서대문구 창천동,존재
1141011700,서울특별시 서대문구 연희동,존재
1141011800,서울특별시 서대문구 홍은동,존재
1141011900,서울특별시 서대문구 북가좌동,존재
1141012000,서울특별시 서대문구 남가좌동,존재
1144000000,서울특별시 마포구,존재
1144010100,서울특별시 마포구 아현동,존재
1144010200,서울특별시 마포구 공덕동,존재
1144010300,서울특별시 마포구 신공덕동,존재
1144010400,서울특별시 마포구 도화동,존재
1144010500,서울특별시 마포구 용강동,존재
1144010600,서울특별시 마포구 토정동,존재
1144010700,서울특별시 마포구 마포동,존재
1144010800,서울특별시 마포구 대흥동,존재
1144010900,서울특별시 마포구 염리동,존재
1144011000,서울특별시 마포구 노고산동,존재
1144011100,서울특별시 마포구 신수동,존재
1144011200,서울특별시 마포구 현석동,존재
1144011300,서울특별시 마포구 구수동,존재
1144011400,서울특별시 마포구 창전동,존재
1144011500,서울특별시 마포구 상수동,존재
1144011600,서울특별시 마포구 하중동,존재
1144011700,서울특별시 마포구 신정동,존재
1144011800,서울특별시 마포구 당인동,존재
1144012000,서울특별시 마포구 서교동,존재
1144012100,서울특별시 마포구 동교동,존재
1144012200,서울특별시 마포구 합정동,존재
1144012300,서울특별시 마포구 망원동,존재
1144012400,서울특별시 마포구 연남동,존재
1144012500,서울특별시 마포구 성산동,존재
1144012600,서울특별시 마포구 중동,존재
1144012700,서울특별시 마포구 상암동,존재
1147000000,서울특별시 양천구,존재
1147010100,서울특별시 양천구 신정동,존재
1147010200,서울특별시 양천구 목동,존재
1147010300,서울특별시 양천구 신월동,존재
1150000000,서울특별시 강서구,존재
1150010100,서울특별시 강서구 염창동,존재
1150010200,서울특별시 강서구 등촌동,존재
1150010300,서울특별시 강서구 화곡동,존재
1150010400,서울특별시 강서구 가양동,존재
1150010500,서울특별시 강서구 마곡동,존재
1150010600,서울특별시 강서구 내발산동,존재
1150010700,서울특별시 강서구 외발산동,존재
1150010800,서울특별시 강서구 공항동,존재
1150010900,서울특별시 강서구 방화동,존재
1150011000,서울특별시 강서구 개화동,존재
1150011100,서울특별시 강서구 과해동,존재
1150011200,서울특별시 강서구 오곡동,존재
1150011300,서울특별시 강서구 오쇠동,존재
1153000000,서울특별시 구로구,존재
1153010100,서울특별시 구로구 신도림동,존재
1153010200,서울특별시 구로구 구로동,존재
1153010300,서울특별시 구로구 가리봉동,존재
1153010600,서울특별시 구로구 고척동,존재
1153010700,서울특별시 구로구 개봉동,존재
1153010800,서울특별시 구로구 오류동,존재
1153010900,서울특별시 구로구 궁동,존재
1153011000,서울특별시 구로구 온수동,존재
1153011100,서울특별시 구로구 천왕동,존재
1153011200,서울특별시 구로구 항동,존재
1154500000,서울특별시 금천구,존재
1154510100,서울특별시 금천구 가산동,존재
1154510200,서울특별시 금천구 독산동,존재
1154510300,서울특별시 금천구 시흥동,존재
1156000000,서울특별시 영등포구,존재
1156010100,서울특별시 영등포구 영등포동,존재
1156010200,서울특별시 영등포구 영등포동1가,존재
1156010300,서울특별시 영등포구 영등포동2가,존재
1156010400,서울특별시 영등포구 영등포동3가,존재
1156010500,서울특별시 영등포구 영등포동4가,존재
1156010600,서울특별시 영등포구 영등포동5가,존재
1156010700,서울특별시 영등포구 영등포동6가,존재
1156010800,서울특별시 영등포구 영등포동7가,존재
1156010900,서울특별시 영등포구 영등포동8가,존재
1156011000,서울특별시 영등포구 여의도동,존재
1156011100,서울특별시 영등포구 당산동1가,존재
1156011200,서울특별시 영등포구 당산동2가,존재
1156011300,서울특별시 영등포구 당산동3가,존재
1156011400,서울특별시 영등포구 당산동4가,존재
1156011500,서울특별시 영등포구 당산동5가,존재
